"Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>"
"was approved but an error occurred when converting it to an Order.","was approved but an error occurred when converting it to an Order."
"Check the Purchase Order History Logs or with your company administrator.","Check the Purchase Order History Logs or with your company administrator."
"To reorder, please create a new Purchase Order.","To reorder, please create a new Purchase Order."
"Purchase Order #%increment_id has been Rejected","Purchase Order #%increment_id has been Rejected"
"Your Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","Your Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>"
"has been rejected by %rejecter_full_name.","has been rejected by %rejecter_full_name."
Edit,Edit
"Ship Here","Ship Here"
"Place Purchase Order","Place Purchase Order"
"Make Check payable to:","Make Check payable to:"
"Send Check to:","Send Check to:"
"Available Credit ","Available Credit "
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","Payment On Account cannot be used for this order because your order amount exceeds your credit amount."
"The Payment on Account method is not available in the selected currency. Please contact the seller.","The Payment on Account method is not available in the selected currency. Please contact the seller."
"Custom Reference Number","Custom Reference Number"
"Company credit account will be charged: ","Company credit account will be charged: "
"You will be asked to enter your payment details after your Purchase Order has been approved.","You will be asked to enter your payment details after your Purchase Order has been approved."
"Show All Purchase Orders","Show All Purchase Orders"
"Show My Purchase Orders","Show My Purchase Orders"
"The shopping cart is not empty","The shopping cart is not empty"
"You have items in your shopping cart. Would you like to merge the items in this Purchase Order with the items in the shopping cart or replace them?","You have items in your shopping cart. Would you like to merge the items in this Purchase Order with the items in the shopping cart or replace them?"
"Select Cancel to stay on the current page.","Select Cancel to stay on the current page."
"Review & Payments","Review & Payments"
"Review Purchase Order","Review Purchase Order"
"Order Approval Configuration","Order Approval Configuration"
"Enable Purchase Orders","Enable Purchase Orders"
"Purchase Orders are enabled at the Company level. Turn on 'Enable Purchase Orders' at Customers > Companies > Company Name > Edit > Advanced Settings for each company that supports Purchase Orders.","Purchase Orders are enabled at the Company level. Turn on 'Enable Purchase Orders' at Customers > Companies > Company Name > Edit > Advanced Settings for each company that supports Purchase Orders."
"Purchase Order Approval","Purchase Order Approval"
Enabled,Enabled
"Created and requires Approval Purchase Order (to Buyer)","Created and requires Approval Purchase Order (to Buyer)"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Created and Automatically approved Purchase Order (to Buyer)","Created and Automatically approved Purchase Order (to Buyer)"
"Approved Purchase Order (to Buyer)","Approved Purchase Order (to Buyer)"
"Rejected Purchase Order (to Buyer)","Rejected Purchase Order (to Buyer)"
"Comment added to Purchase Order","Comment added to Purchase Order"
"Error creating Order from Purchase Order (to Buyer)","Error creating Order from Purchase Order (to Buyer)"
"Purchase Order requires Approval (to Approver)","Purchase Order requires Approval (to Approver)"
"Order Approvals","Order Approvals"
"View my Purchase Orders","View my Purchase Orders"
"View for subordinates","View for subordinates"
"View for all company","View for all company"
"Auto-approve POs created within this role","Auto-approve POs created within this role"
"Purchase Order #%increment_id was Submitted","Purchase Order #%increment_id was Submitted"
"Failed to create Order from Purchase Order #%increment_id with Error - %error_message","Failed to create Order from Purchase Order #%increment_id with Error - %error_message"
"Purchase Order #%increment_id was automatically approved","Purchase Order #%increment_id was automatically approved"
"Successfully created Order #%order_increment_id from Purchase Order #%increment_id","Successfully created Order #%order_increment_id from Purchase Order #%increment_id"
"Purchase Order #%increment_id was Rejected","Purchase Order #%increment_id was Rejected"
"Purchase Order #%increment_id was Approved","Purchase Order #%increment_id was Approved"
"Purchase Order #%increment_id was Canceled","Purchase Order #%increment_id was Canceled"
"Company Purchase Orders","Company Purchase Orders"
Comments,Comments
"History Log","History Log"
"Purchase Order Items","Purchase Order Items"
"This action cannot be undone. Are you sure you want to reject the selected purchase orders?","This action cannot be undone. Are you sure you want to reject the selected purchase orders?"
"Reject Selected","Reject Selected"
"This action cannot be undone. Are you sure you want to approve the selected purchase orders?","This action cannot be undone. Are you sure you want to approve the selected purchase orders?"
"Approve Selected","Approve Selected"
"PO #","PO #"
"Order #","Order #"
Created,Created
Updated,Updated
"Created By","Created By"
Status,Status
"Created and automatically approved, requires payment details (to Buyer)","Created and automatically approved, requires payment details (to Buyer)"
"Created and automatically approved, requires payment details","Created and automatically approved, requires payment details"
"Go to the Add Payment page to complete the order.","Go to the Add Payment page to complete the order."
"Purchase Order #%increment_id has been Created and Approved - Pending Payment","Purchase Order #%increment_id has been Created and Approved - Pending Payment"
"Add payment","Add payment"
"You will receive an email at each approval stage. You will be asked to enter your payment details after the purchase order has been approved.","You will receive an email at each approval stage. You will be asked to enter your payment details after the purchase order has been approved."
"Your Purchase Order","Your Purchase Order"
"Purchase Order","Purchase Order"
"has been created based on your quote","has been created based on your quote"
"has been created and approved automatically.","has been created and approved automatically."
"This Purchase Order has been approved automatically.","This Purchase Order has been approved automatically."
"Created and requires payment details after Approval (to Buyer)","Created and requires payment details after Approval (to Buyer)"
"Created and requires payment details after Approval","Created and requires payment details after Approval"
"Payment method code cannot be empty","Payment method code cannot be empty"
"Approved, requires payment details","Approved, requires payment details"
"Approved, requires payment details (to Buyer)","Approved, requires payment details (to Buyer)"
"This order could not be completed as some items are currently unavailable.","This order could not be completed as some items are currently unavailable."
"Gift Card (%1)","Gift Card (%1)"
"Gift Card","Gift Card"
